" Product Code"," Product Description","HS 1988/92 Product Code","HS 1988/92 Product Description"
"010121","Horses; live, pure-bred breeding animals","010111","Live pure bred breeding horses"
"010129","Horses; live, other than pure-bred breeding animals","010119","Live horses, other than for pure-bred breeding"
"010130","Asses; live","010111","Live pure bred breeding horses"
"010190","Mules and hinnies; live","010119","Live horses, other than for pure-bred breeding"
"010221","Cattle; live, pure-bred breeding animals","010210","Live pure-bred breeding bovine animals"
"010229","Cattle; live, other than pure-bred breeding animals","010290","Live bovine animals, other than pure-bred breed"
"010231","Buffalo; live, pure-bred breeding animals","010210","Live pure-bred breeding bovine animals"
"010239","Buffalo; live, other than pure-bred breeding animals","010290","Live bovine animals, other than pure-bred breed"
"010290","Bovine animals; live, other than cattle and buffalo","010290","Live bovine animals, other than pure-bred breed"
"010310","Swine; live, pure-bred breeding animals","010310","Live pure-bred breeding swine"
"010391","Swine; live, other than pure-bred breeding animals, weighing less than 50kg","010391","Live swine weighing <50kg (excl. pure-bred bree"
"010392","Swine; live, other than pure-bred breeding animals, weighing 50kg or more","010392","Live swine weighing >=50kg (excl. pure-bred bre"
"010410","Sheep; live","010410","Live sheep"
"010420","Goats; live","010420","Live goats"
"010511","Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g","010511","Live fowls of species Gallus domesticus, weighi"
"010512","Poultry; live, turkeys, weighing not more than 185g","010519","Live ducks, geese, turkeys and guinea fowls, we"
"010513","Poultry; live, ducks, weighing not more than 185g","010519","Live ducks, geese, turkeys and guinea fowls, we"
"010514","Poultry; live, geese, weighing not more than 185g","010519","Live ducks, geese, turkeys and guinea fowls, we"
"010515","Poultry; live, guinea fowls, weighing not more than 185g","010519","Live ducks, geese, turkeys and guinea fowls, we"
"010594","Poultry; live, fowls of the species Gallus domesticus, weighing more than 185g","010591","Live fowls of species Gallus domesticus (chicke"
"010599","Poultry; live, ducks, geese, turkeys and guinea fowls, weighing more than 185g","010599","Live ducks, geese, turkeys and guinea fowls, we"
"010611","Mammals; live, primates","010600","Other live animals, nes"
"010612","Mammals; live, whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals of the order Sirenia); seals, sea lions and walruses (mammals of the suborder Pinnipedia)","010600","Other live animals, nes"
"010613","Mammals; live, camels and other camelids (Camelidae)","010600","Other live animals, nes"
"010614","Mammals; live, rabbits and hares","010600","Other live animals, nes"
"010619","Mammals; live, other than primates, whales, dolphins, porpoises (mammals of the order Cetacea); manatees, dugongs (mammals of the order Sirenia); seals, sea lions, walruses (mammals of the suborder Pinnipedia), camels, other camelids, rabbits and hares","010600","Other live animals, nes"
"010620","Reptiles; live (including snakes and turtles)","010600","Other live animals, nes"
"010631","Birds; live, birds of prey","010600","Other live animals, nes"
"010632","Birds; live, Psittaciformes","010600","Other live animals, nes"
"010633","Birds; live, ostriches; emus (Dromaius novaehollandiae)","010600","Other live animals, nes"
"010639","Birds; live, other than birds of prey, Psittaciformes, ostriches and emus (Dromaius novaehollandiae)","010600","Other live animals, nes"
"010641","Insects; live, bees","010600","Other live animals, nes"
"010649","Insects; live, other than bees","010600","Other live animals, nes"
"010690","Animals; live, n.e.c. in chapter 01, other than mammals, reptiles, birds and insects","010600","Other live animals, nes"
"020110","Meat; of bovine animals, carcasses and half-carcasses, fresh or chilled","020110","Fresh or chilled bovine carcasses and half carc"
"020120","Meat; of bovine animals, cuts with bone in (excluding carcasses and half-carcasses), fresh or chilled","020120","Fresh or chilled unboned bovine meat (excl. car"
"020130","Meat; of bovine animals, boneless cuts, fresh or chilled","020130","Fresh or chilled boneless bovine meat"
"020210","Meat; of bovine animals, carcasses and half-carcasses, frozen","020210","Frozen bovine carcasses and half carcasses"
"020220","Meat; of bovine animals, cuts with bone in (excluding carcasses and half-carcasses), frozen","020220","Frozen unboned bovine meat (excl. carcasses)"
"020230","Meat; of bovine animals, boneless cuts, frozen","020230","Frozen boneless bovine meat"
"020311","Meat; of swine, carcasses and half-carcasses, fresh or chilled","020311","Fresh or chilled swine carcasses and half carca"
"020312","Meat; of swine, hams, shoulders and cuts thereof, with bone in, fresh or chilled","020312","Fresh or chilled unboned hams, shoulders and cu"
"020319","Meat; of swine, n.e.c. in item no. 0203.1, fresh or chilled","020319","Fresh or chilled swine meat, nes (unboned)"
"020321","Meat; of swine, carcasses and half-carcasses, frozen","020321","Frozen swine carcasses and half carcasses"
"020322","Meat; of swine, hams, shoulders and cuts thereof, with bone in, frozen","020322","Frozen unboned hams, shoulders and cuts thereof"
"020329","Meat; of swine, n.e.c. in item no. 0203.2, frozen","020329","Frozen swine meat, nes"
"020410","Meat; of sheep, lamb carcasses and half-carcasses, fresh or chilled","020410","Fresh or chilled lamb carcasses and half carcas"
"020421","Meat; of sheep, carcasses and half-carcasses (excluding carcasses and half-carcasses of lamb), fresh or chilled","020421","Fresh or chilled sheep carcasses and half carca"
"020422","Meat; of sheep (including lamb), cuts with bone in (excluding carcasses and half-carcasses), fresh or chilled","020422","Fresh or chilled unboned meat of sheep"
"020423","Meat; of sheep (including lamb), boneless cuts, fresh or chilled","020423","Fresh or chilled boneless meat of sheep"
"020430","Meat; of sheep, lamb carcasses and half-carcasses, frozen","020430","Frozen lamb carcasses and half carcasses"
"020441","Meat; of sheep, carcasses and half-carcasses (excluding carcasses and half-carcasses of lamb), frozen","020441","Frozen sheep carcasses and half carcasses (excl"
"020442","Meat; of sheep (including lamb), cuts with bone in (excluding carcasses and half-carcasses), frozen","020442","Frozen unboned meat of sheep"
"020443","Meat; of sheep (including lamb), boneless cuts, frozen","020443","Frozen boned meat of sheep"
"020450","Meat; of goats, fresh, chilled or frozen","020450","Fresh, chilled or frozen goat meat"
"020500","Meat; of horses, asses, mules or hinnies, fresh, chilled or frozen","020500","Meat of horses, asses, mules or hinnies, fresh,"
"020610","Offal, edible; of bovine animals, fresh or chilled","020610","Fresh or chilled edible bovine offal"
"020621","Offal, edible; of bovine animals, tongues, frozen","020621","Frozen bovine tongues"
"020622","Offal, edible; of bovine animals, livers, frozen","020622","Frozen bovine livers"
"020629","Offal, edible; of bovine animals, (other than tongues and livers), frozen","020629","Frozen edible bovine offal (excl. tongues and l"
"020630","Offal, edible; of swine, fresh or chilled","020630","Fresh or chilled edible swine offal"
"020641","Offal, edible; of swine, livers, frozen","020641","Frozen swine livers"
"020649","Offal, edible; of swine, (other than livers), frozen","020649","Frozen edible swine offal (excl. livers)"
"020680","Offal, edible; of sheep, goats, horses, asses, mules or hinnies, fresh or chilled","020680","Fresh or chilled edible offal of sheep, goats,"
"020690","Offal, edible; of sheep, goats, horses, asses, mules or hinnies, frozen","020690","Frozen edible offal of sheep, goats, horses..."
"020711","Meat and edible offal; of fowls of the species Gallus domesticus, not cut in pieces, fresh or chilled","020710","Fresh or chilled whole poultry"
"020712","Meat and edible offal; of fowls of the species Gallus domesticus, not cut in pieces, frozen","020721","Frozen whole chickens"
"020713","Meat and edible offal; of fowls of the species Gallus domesticus, cuts and offal, fresh or chilled","020739","Fresh or chilled poultry cuts and offal (excl."
"020714","Meat and edible offal; of fowls of the species Gallus domesticus, cuts and offal, frozen","020741","Frozen cuts and offal of chicken (excl. livers)"
"020724","Meat and edible offal; of turkeys, not cut in pieces, fresh or chilled","020710","Fresh or chilled whole poultry"
"020725","Meat and edible offal; of turkeys, not cut in pieces, frozen","020722","Frozen whole turkeys"
"020726","Meat and edible offal; of turkeys, cuts and offal, fresh or chilled","020739","Fresh or chilled poultry cuts and offal (excl."
"020727","Meat and edible offal; of turkeys, cuts and offal, frozen","020742","Frozen cuts and offal of turkey (excl. livers)"
"020741","Meat and edible offal; of ducks, not cut in pieces, fresh or chilled","020710","Fresh or chilled whole poultry"
"020742","Meat and edible offal; of ducks, not cut in pieces, frozen","020723","Frozen whole ducks, geese and guinea fowls"
"020743","Meat and edible offal; of ducks, fatty livers (foie gras), fresh or chilled","020731","Fresh or chilled fatty livers of geese or ducks"
"020744","Meat and edible offal; of ducks, cuts and offal, excluding fatty livers, fresh or chilled","020739","Fresh or chilled poultry cuts and offal (excl."
"020745","Meat and edible offal; of ducks, cuts and offal, excluding fatty livers, frozen","020743","Frozen cuts and offal of geese, ducks and guine"
"020751","Meat and edible offal; of geese, not cut in pieces, fresh or chilled","020710","Fresh or chilled whole poultry"
"020752","Meat and edible offal; of geese, not cut in pieces, frozen","020723","Frozen whole ducks, geese and guinea fowls"
"020753","Meat and edible offal; of geese, fatty livers (foie gras), fresh or chilled","020731","Fresh or chilled fatty livers of geese or ducks"
"020754","Meat and edible offal; of geese, cuts and offal, excluding fatty livers, fresh or chilled","020739","Fresh or chilled poultry cuts and offal (excl."
"020755","Meat and edible offal; of geese, cuts and offal, excluding fatty livers, frozen","020743","Frozen cuts and offal of geese, ducks and guine"
"020760","Meat and edible offal; of guinea fowls, fresh, chilled or frozen","020739","Fresh or chilled poultry cuts and offal (excl."
"020810","Meat and edible meat offal; of rabbits or hares, fresh, chilled or frozen","020810","Fresh, chilled or frozen meat and edible offal"
"020830","Meat and edible meat offal; of primates, fresh, chilled or frozen","020890","Fresh, chilled or frozen meat and edible offal,"
"020840","Meat and edible meat offal; of whales, dolphins and porpoises (mammals of the order Cetacea); of manatees and dugongs (mammals of the order Sirenia); of seals, sea lions and walruses (mammals of the suborder Pinnipedia), fresh, chilled or frozen","020890","Fresh, chilled or frozen meat and edible offal,"
"020850","Meat and edible meat offal; of reptiles (including snakes and turtles), fresh, chilled or frozen","020890","Fresh, chilled or frozen meat and edible offal,"
