" Product Code"," Product Description","HS 1988/92 Product Code","HS 1988/92 Product Description"
"010110","010110 -- (2002-2011) - Pure-bred breeding animals","010111","Live pure bred breeding horses"
"010111","010111 -- (-2001) -- Pure-bred breeding animals","010111","Live pure bred breeding horses"
"010119","010119 -- (-2001) -- Other","010119","Live horses, other than for pure-bred breeding"
"010120","010120 -- (-2001) - Asses, mules and hinnies","010120","Live asses mules and hinnies"
"010121","010121 -- (2012-) -- Pure-bred breeding animals","010111","Live pure bred breeding horses"
"010129","010129 -- (2012-) -- Other","010119","Live horses, other than for pure-bred breeding"
"010130","010130 -- (2012-) - Asses","010120","Live asses mules and hinnies"
"010190","010190 -- (2002-) - Other","010120","Live asses mules and hinnies"
"010210","010210 -- (-2011) - Pure-bred breeding animals","010210","Live pure-bred breeding bovine animals"
"010221","010221 -- (2012-) -- Pure-bred breeding animals","010210","Live pure-bred breeding bovine animals"
"010229","010229 -- (2012-) -- Other","010290","Live bovine animals, other than pure-bred breed"
"010231","010231 -- (2012-) -- Pure-bred breeding animals","010210","Live pure-bred breeding bovine animals"
"010239","010239 -- (2012-) -- Other","010290","Live bovine animals, other than pure-bred breed"
"010290","010290 --  - Other","010290","Live bovine animals, other than pure-bred breed"
"010310","010310 --  - Pure-bred breeding animals","010310","Live pure-bred breeding swine"
"010391","010391 --  -- Weighing less than 50 kg","010391","Live swine weighing <50kg (excl. pure-bred bree"
"010392","010392 --  -- Weighing 50 kg or more","010392","Live swine weighing >=50kg (excl. pure-bred bre"
"010410","010410 --  - Sheep","010410","Live sheep"
"010420","010420 --  - Goats","010420","Live goats"
"010511","010511 --  -- Fowls of the species Gallus domesticus","010511","Live fowls of species Gallus domesticus, weighi"
"010512","010512 -- (1996-) -- Turkeys","010519","Live ducks, geese, turkeys and guinea fowls, we"
"010513","010513 -- (2012-) -- Ducks","010519","Live ducks, geese, turkeys and guinea fowls, we"
"010514","010514 -- (2012-) -- Geese","010519","Live ducks, geese, turkeys and guinea fowls, we"
"010515","010515 -- (2012-) -- Guinea fowls","010519","Live ducks, geese, turkeys and guinea fowls, we"
"010519","010519 -- (-2011) -- Other","010519","Live ducks, geese, turkeys and guinea fowls, we"
"010591","010591 -- (-1995) Fowls of the species Gallus domesticus","010591","Live fowls of species Gallus domesticus (chicke"
"010592","010592 -- (1996-2006) -- Fowls of the species Gallus domesticus, weighing not more than 2,000 g","010591","Live fowls of species Gallus domesticus (chicke"
"010593","010593 -- (1996-2006) -- Fowls of the species Gallus domesticus, weighing more than 2,000 g","010591","Live fowls of species Gallus domesticus (chicke"
"010594","010594 -- (2007-) -- Fowls of the species Gallus domesticus","010591","Live fowls of species Gallus domesticus (chicke"
"010599","010599 --  -- Other","010599","Live ducks, geese, turkeys and guinea fowls, we"
"010600","010600 -- (-2001) Other live animals","010600","Other live animals, nes"
"010611","010611 -- (2002-) -- Primates","010600","Other live animals, nes"
"010612","010612 -- (2002-) -- Whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals of the order Sirenia); seals, sea lions and walruses (mammals of the suborder Pinnipedia)","010600","Other live animals, nes"
"010613","010613 -- (2012-) -- Camels and other camelids (Camelidae)","010600","Other live animals, nes"
"010614","010614 -- (2012-) -- Rabbits and hares","010600","Other live animals, nes"
"010619","010619 -- (2002-) -- Other","010600","Other live animals, nes"
"010620","010620 -- (2002-) - Reptiles (including snakes and turtles)","010600","Other live animals, nes"
"010631","010631 -- (2002-) -- Birds of prey","010600","Other live animals, nes"
"010632","010632 -- (2002-) -- Psittaciformes (including parrots, parakeets, macaws and cockatoos)","010600","Other live animals, nes"
"010633","010633 -- (2012-) -- Ostriches; emus (Dromaius novaehollandiae)","010600","Other live animals, nes"
"010639","010639 -- (2002-) -- Other","010600","Other live animals, nes"
"010641","010641 -- (2012-) -- Bees","010600","Other live animals, nes"
"010649","010649 -- (2012-) -- Other","010600","Other live animals, nes"
"010690","010690 -- (2002-) - Other","010600","Other live animals, nes"
"020110","020110 --  - Carcases and half-carcases","020110","Fresh or chilled bovine carcasses and half carc"
